pair_id,model,phenomenon,grammatical,ungrammatical,prompt,response,choice,correct,order
ON_QUIRKY_CASE_011,llama-3.3-70b-versatile,QUIRKY_CASE,Hún svarar honum : `` Faðir minn gaf mér eitt gull lítit við náttúru .,Hún svarar honum : `` Faðir minn gaf ek eitt gull lítit við náttúru .,"Which of the following Old Norse sentences is grammatically correct?

A: Hún svarar honum : `` Faðir minn gaf mér eitt gull lítit við náttúru .
B: Hún svarar honum : `` Faðir minn gaf ek eitt gull lítit við náttúru .

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_012,llama-3.3-70b-versatile,QUIRKY_CASE,"Frá honum segja allir eitt , at um atferð ok vöxt var engi hans maki .","Frá hann segja allir eitt , at um atferð ok vöxt var engi hans maki .","Which of the following Old Norse sentences is grammatically correct?

A: Frá honum segja allir eitt , at um atferð ok vöxt var engi hans maki .
B: Frá hann segja allir eitt , at um atferð ok vöxt var engi hans maki .

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_013,llama-3.3-70b-versatile,QUIRKY_CASE,Reginn mælti : `` Trúir þú þeim allvel ? '',Reginn mælti : `` Trúir þú þeir allvel ? '',"Which of the following Old Norse sentences is grammatically correct?

A: Reginn mælti : `` Trúir þú þeim allvel ? ''
B: Reginn mælti : `` Trúir þú þeir allvel ? ''

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_014,llama-3.3-70b-versatile,QUIRKY_CASE,Reginn mælti : `` Bið hann gefa þér einn hest . '',Reginn mælti : `` Bið hann gefa þú einn hest . '',"Which of the following Old Norse sentences is grammatically correct?

A: Reginn mælti : `` Bið hann gefa þú einn hest . ''
B: Reginn mælti : `` Bið hann gefa þér einn hest . ''

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_015,llama-3.3-70b-versatile,QUIRKY_CASE,"Reginn svarar : `` Saga er til þess , ok mun ek segja þér . ''","Reginn svarar : `` Saga er til þess , ok mun ek segja þú . ''","Which of the following Old Norse sentences is grammatically correct?

A: Reginn svarar : `` Saga er til þess , ok mun ek segja þú . ''
B: Reginn svarar : `` Saga er til þess , ok mun ek segja þér . ''

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_016,llama-3.3-70b-versatile,QUIRKY_CASE,"Ok þótt þú segir mér eigi þitt nafn á banadægri mínu , þá veiztu , at þú lýgr nú . ''","Ok þótt þú segir ek eigi þitt nafn á banadægri mínu , þá veiztu , at þú lýgr nú . ''","Which of the following Old Norse sentences is grammatically correct?

A: Ok þótt þú segir mér eigi þitt nafn á banadægri mínu , þá veiztu , at þú lýgr nú . ''
B: Ok þótt þú segir ek eigi þitt nafn á banadægri mínu , þá veiztu , at þú lýgr nú . ''

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_017,llama-3.3-70b-versatile,QUIRKY_CASE,"Önnur segir : `` Þar liggr Reginn ok vill véla þann , sem honum trúir . ''","Önnur segir : `` Þar liggr Reginn ok vill véla þann , sem hann trúir . ''","Which of the following Old Norse sentences is grammatically correct?

A: Önnur segir : `` Þar liggr Reginn ok vill véla þann , sem honum trúir . ''
B: Önnur segir : `` Þar liggr Reginn ok vill véla þann , sem hann trúir . ''

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_018,llama-3.3-70b-versatile,QUIRKY_CASE,"Ok trú ekki þeim , er þú hefir felldan fyrir föður eða bróður eða annan náfrænda , þótt ungr sé .","Ok trú ekki þeir , er þú hefir felldan fyrir föður eða bróður eða annan náfrænda , þótt ungr sé .","Which of the following Old Norse sentences is grammatically correct?

A: Ok trú ekki þeir , er þú hefir felldan fyrir föður eða bróður eða annan náfrænda , þótt ungr sé .
B: Ok trú ekki þeim , er þú hefir felldan fyrir föður eða bróður eða annan náfrænda , þótt ungr sé .

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_019,llama-3.3-70b-versatile,QUIRKY_CASE,"Álsviðr býðr honum með sér at vera ok af sér at þiggja slíkt , er hann vill .","Álsviðr býðr hann með sér at vera ok af sér at þiggja slíkt , er hann vill .","Which of the following Old Norse sentences is grammatically correct?

A: Álsviðr býðr honum með sér at vera ok af sér at þiggja slíkt , er hann vill .
B: Álsviðr býðr hann með sér at vera ok af sér at þiggja slíkt , er hann vill .

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_020,llama-3.3-70b-versatile,QUIRKY_CASE,"`` Hana skal ek hitta , '' sagði Sigurðr , `` ok gefa henni gull ok ná hennar gamni ok jafnaðarþokka . ''","`` Hana skal ek hitta , '' sagði Sigurðr , `` ok gefa hon gull ok ná hennar gamni ok jafnaðarþokka . ''","Which of the following Old Norse sentences is grammatically correct?

A: `` Hana skal ek hitta , '' sagði Sigurðr , `` ok gefa hon gull ok ná hennar gamni ok jafnaðarþokka . ''
B: `` Hana skal ek hitta , '' sagði Sigurðr , `` ok gefa henni gull ok ná hennar gamni ok jafnaðarþokka . ''

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_021,llama-3.3-70b-versatile,QUIRKY_CASE,"Hún svarar : `` Seg mér ok lát þik eigi hryggja , því at jafnan dreymir fyrir veðrum . ''","Hún svarar : `` Seg ek ok lát þik eigi hryggja , því at jafnan dreymir fyrir veðrum . ''","Which of the following Old Norse sentences is grammatically correct?

A: Hún svarar : `` Seg mér ok lát þik eigi hryggja , því at jafnan dreymir fyrir veðrum . ''
B: Hún svarar : `` Seg ek ok lát þik eigi hryggja , því at jafnan dreymir fyrir veðrum . ''

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_022,llama-3.3-70b-versatile,QUIRKY_CASE,"En af því kom ek hér at segja þér drauma mína , er mér fengu mikillar áhyggju . ''","En af þat kom ek hér at segja þér drauma mína , er mér fengu mikillar áhyggju . ''","Which of the following Old Norse sentences is grammatically correct?

A: En af því kom ek hér at segja þér drauma mína , er mér fengu mikillar áhyggju . ''
B: En af þat kom ek hér at segja þér drauma mína , er mér fengu mikillar áhyggju . ''

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_023,llama-3.3-70b-versatile,QUIRKY_CASE,"Grímhildr gefr honum meinblandinn mjöð , er öllum oss kemr í mikit stríð .","Grímhildr gefr hann meinblandinn mjöð , er öllum oss kemr í mikit stríð .","Which of the following Old Norse sentences is grammatically correct?

A: Grímhildr gefr hann meinblandinn mjöð , er öllum oss kemr í mikit stríð .
B: Grímhildr gefr honum meinblandinn mjöð , er öllum oss kemr í mikit stríð .

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_024,llama-3.3-70b-versatile,QUIRKY_CASE,"Konungr svarar : `` Fátítt er þat at bjóða fram dætr sínar , en meiri vegr er at bjóða honum en aðrir biði . ''","Konungr svarar : `` Fátítt er þat at bjóða fram dætr sínar , en meiri vegr er at bjóða hann en aðrir biði . ''","Which of the following Old Norse sentences is grammatically correct?

A: Konungr svarar : `` Fátítt er þat at bjóða fram dætr sínar , en meiri vegr er at bjóða honum en aðrir biði . ''
B: Konungr svarar : `` Fátítt er þat at bjóða fram dætr sínar , en meiri vegr er at bjóða hann en aðrir biði . ''

Answer with A or B only.",B,B,FALSE,A_gram
ON_QUIRKY_CASE_025,llama-3.3-70b-versatile,QUIRKY_CASE,"Hann tók þá af henni hringinn Andvaranaut , er hann gaf henni , en fekk henni nú annan hring af Fáfnis arfi .","Hann tók þá af henni hringinn Andvaranaut , er hann gaf hon , en fekk henni nú annan hring af Fáfnis arfi .","Which of the following Old Norse sentences is grammatically correct?

A: Hann tók þá af henni hringinn Andvaranaut , er hann gaf henni , en fekk henni nú annan hring af Fáfnis arfi .
B: Hann tók þá af henni hringinn Andvaranaut , er hann gaf hon , en fekk henni nú annan hring af Fáfnis arfi .

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_026,llama-3.3-70b-versatile,QUIRKY_CASE,"Þá hugsaða ek með mér , hvárt ek skylda hlýða hans vilja eða drepa margan mann .","Þá hugsaða ek með ek , hvárt ek skylda hlýða hans vilja eða drepa margan mann .","Which of the following Old Norse sentences is grammatically correct?

A: Þá hugsaða ek með mér , hvárt ek skylda hlýða hans vilja eða drepa margan mann .
B: Þá hugsaða ek með ek , hvárt ek skylda hlýða hans vilja eða drepa margan mann .

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_027,llama-3.3-70b-versatile,QUIRKY_CASE,"Far heldr ok finn hana ok vit , ef sjatni hennar ofsi , gef henni gull ok mýk svá hennar reiði . ''","Far heldr ok finn hana ok vit , ef sjatni hennar ofsi , gef hon gull ok mýk svá hennar reiði . ''","Which of the following Old Norse sentences is grammatically correct?

A: Far heldr ok finn hana ok vit , ef sjatni hennar ofsi , gef hon gull ok mýk svá hennar reiði . ''
B: Far heldr ok finn hana ok vit , ef sjatni hennar ofsi , gef henni gull ok mýk svá hennar reiði . ''

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_028,llama-3.3-70b-versatile,QUIRKY_CASE,Brynhildr svarar : `` Þér skal ek segja mína reiði . '',Brynhildr svarar : `` Þú skal ek segja mína reiði . '',"Which of the following Old Norse sentences is grammatically correct?

A: Brynhildr svarar : `` Þér skal ek segja mína reiði . ''
B: Brynhildr svarar : `` Þú skal ek segja mína reiði . ''

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_029,llama-3.3-70b-versatile,QUIRKY_CASE,"`` Nei , '' segir hún , `` eigi reið Gunnarr eldinn til vár , ok eigi galt hann mér at mundi felldan val .","`` Nei , '' segir hún , `` eigi reið Gunnarr eldinn til vár , ok eigi galt hann ek at mundi felldan val .","Which of the following Old Norse sentences is grammatically correct?

A: `` Nei , '' segir hún , `` eigi reið Gunnarr eldinn til vár , ok eigi galt hann ek at mundi felldan val .
B: `` Nei , '' segir hún , `` eigi reið Gunnarr eldinn til vár , ok eigi galt hann mér at mundi felldan val .

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_030,llama-3.3-70b-versatile,QUIRKY_CASE,"Sigurðr svarar : `` Ekki varð ek þinn maðr , ok vartu mín kona , ok galt við þér mund ágætr konungr . ''","Sigurðr svarar : `` Ekki varð ek þinn maðr , ok vartu mín kona , ok galt við þú mund ágætr konungr . ''","Which of the following Old Norse sentences is grammatically correct?

A: Sigurðr svarar : `` Ekki varð ek þinn maðr , ok vartu mín kona , ok galt við þér mund ágætr konungr . ''
B: Sigurðr svarar : `` Ekki varð ek þinn maðr , ok vartu mín kona , ok galt við þú mund ágætr konungr . ''

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_031,llama-3.3-70b-versatile,QUIRKY_CASE,Þeir tóku orm einn ok af vargsholdi ok létu sjóða ok gáfu honum at eta sem skáldit kvað :,Þeir tóku orm einn ok af vargsholdi ok létu sjóða ok gáfu hann at eta sem skáldit kvað :,"Which of the following Old Norse sentences is grammatically correct?

A: Þeir tóku orm einn ok af vargsholdi ok létu sjóða ok gáfu honum at eta sem skáldit kvað :
B: Þeir tóku orm einn ok af vargsholdi ok létu sjóða ok gáfu hann at eta sem skáldit kvað :

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_032,llama-3.3-70b-versatile,QUIRKY_CASE,"Grímhildr ræðst í ferð með þeim ok segir þeira erendi svá fremi fullgert munu verða , at hún siti eigi heima .","Grímhildr ræðst í ferð með þeir ok segir þeira erendi svá fremi fullgert munu verða , at hún siti eigi heima .","Which of the following Old Norse sentences is grammatically correct?

A: Grímhildr ræðst í ferð með þeim ok segir þeira erendi svá fremi fullgert munu verða , at hún siti eigi heima .
B: Grímhildr ræðst í ferð með þeir ok segir þeira erendi svá fremi fullgert munu verða , at hún siti eigi heima .

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_033,llama-3.3-70b-versatile,QUIRKY_CASE,Guðrún segir : `` Ekki má ek af honum hyggja ; hann var öllum fremri . '',Guðrún segir : `` Ekki má ek af hann hyggja ; hann var öllum fremri . '',"Which of the following Old Norse sentences is grammatically correct?

A: Guðrún segir : `` Ekki má ek af honum hyggja ; hann var öllum fremri . ''
B: Guðrún segir : `` Ekki má ek af hann hyggja ; hann var öllum fremri . ''

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_034,llama-3.3-70b-versatile,QUIRKY_CASE,"Vingi sýnir honum nú rúnarnar þær , er hann kvað Guðrúnu sent hafa .","Vingi sýnir hann nú rúnarnar þær , er hann kvað Guðrúnu sent hafa .","Which of the following Old Norse sentences is grammatically correct?

A: Vingi sýnir honum nú rúnarnar þær , er hann kvað Guðrúnu sent hafa .
B: Vingi sýnir hann nú rúnarnar þær , er hann kvað Guðrúnu sent hafa .

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_035,llama-3.3-70b-versatile,QUIRKY_CASE,"Nú vill hann gefa yðr vald yfir ríkinu , meðan þeir eru svá ungir , ok ann yðr bezt at njóta . ''","Nú vill hann gefa þér vald yfir ríkinu , meðan þeir eru svá ungir , ok ann yðr bezt at njóta . ''","Which of the following Old Norse sentences is grammatically correct?

A: Nú vill hann gefa yðr vald yfir ríkinu , meðan þeir eru svá ungir , ok ann yðr bezt at njóta . ''
B: Nú vill hann gefa þér vald yfir ríkinu , meðan þeir eru svá ungir , ok ann yðr bezt at njóta . ''

Answer with A or B only.",B,B,FALSE,A_gram
ON_QUIRKY_CASE_036,llama-3.3-70b-versatile,QUIRKY_CASE,"Hann svarar : `` Yðart atkvæði mun standa hljóta , ok fylgja mun ek þér , en ófúss em ek þessarar ferðar . ''","Hann svarar : `` Yðart atkvæði mun standa hljóta , ok fylgja mun ek þú , en ófúss em ek þessarar ferðar . ''","Which of the following Old Norse sentences is grammatically correct?

A: Hann svarar : `` Yðart atkvæði mun standa hljóta , ok fylgja mun ek þér , en ófúss em ek þessarar ferðar . ''
B: Hann svarar : `` Yðart atkvæði mun standa hljóta , ok fylgja mun ek þú , en ófúss em ek þessarar ferðar . ''

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_037,llama-3.3-70b-versatile,QUIRKY_CASE,"Þá mælti Vingi : `` Þetta mættir þú vel ógert hafa , ok bíðið nú hér , meðan ek sæki yðr gálgatré .","Þá mælti Vingi : `` Þetta mættir þú vel ógert hafa , ok bíðið nú hér , meðan ek sæki þér gálgatré .","Which of the following Old Norse sentences is grammatically correct?

A: Þá mælti Vingi : `` Þetta mættir þú vel ógert hafa , ok bíðið nú hér , meðan ek sæki yðr gálgatré .
B: Þá mælti Vingi : `` Þetta mættir þú vel ógert hafa , ok bíðið nú hér , meðan ek sæki þér gálgatré .

Answer with A or B only.",B,B,FALSE,A_gram
ON_QUIRKY_CASE_038,llama-3.3-70b-versatile,QUIRKY_CASE,"Ek bað yðr með blíðu hér koma , en flátt bjó undir .","Ek bað þér með blíðu hér koma , en flátt bjó undir .","Which of the following Old Norse sentences is grammatically correct?

A: Ek bað þér með blíðu hér koma , en flátt bjó undir .
B: Ek bað yðr með blíðu hér koma , en flátt bjó undir .

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_039,llama-3.3-70b-versatile,QUIRKY_CASE,"Ek hlaut mikla mægð , ok hugða ek mér þat til frama .","Ek hlaut mikla mægð , ok hugða ek ek þat til frama .","Which of the following Old Norse sentences is grammatically correct?

A: Ek hlaut mikla mægð , ok hugða ek mér þat til frama .
B: Ek hlaut mikla mægð , ok hugða ek ek þat til frama .

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_040,llama-3.3-70b-versatile,QUIRKY_CASE,"Ok nú veit ek einn , hvar gullit er , ok mun eigi Högni segja þér .","Ok nú veit ek einn , hvar gullit er , ok mun eigi Högni segja þú .","Which of the following Old Norse sentences is grammatically correct?

A: Ok nú veit ek einn , hvar gullit er , ok mun eigi Högni segja þér .
B: Ok nú veit ek einn , hvar gullit er , ok mun eigi Högni segja þú .

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_041,llama-3.3-70b-versatile,QUIRKY_CASE,Randvér heimti konung á tal ok mælti : `` Jörmunrekr konungr vill bjóða yðr mægi sitt .,Randvér heimti konung á tal ok mælti : `` Jörmunrekr konungr vill bjóða þér mægi sitt .,"Which of the following Old Norse sentences is grammatically correct?

A: Randvér heimti konung á tal ok mælti : `` Jörmunrekr konungr vill bjóða þér mægi sitt .
B: Randvér heimti konung á tal ok mælti : `` Jörmunrekr konungr vill bjóða yðr mægi sitt .

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_042,llama-3.3-70b-versatile,QUIRKY_CASE,Guðrún gekk hlæjandi ok gaf þeim at drekka af stórum kerum .,Guðrún gekk hlæjandi ok gaf þeir at drekka af stórum kerum .,"Which of the following Old Norse sentences is grammatically correct?

A: Guðrún gekk hlæjandi ok gaf þeim at drekka af stórum kerum .
B: Guðrún gekk hlæjandi ok gaf þeir at drekka af stórum kerum .

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_043,llama-3.3-70b-versatile,QUIRKY_CASE,"Konungrinn svarar : `` Gef oss ráð til , ef þú kannt . ''","Konungrinn svarar : `` Gef vér ráð til , ef þú kannt . ''","Which of the following Old Norse sentences is grammatically correct?

A: Konungrinn svarar : `` Gef oss ráð til , ef þú kannt . ''
B: Konungrinn svarar : `` Gef vér ráð til , ef þú kannt . ''

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_044,llama-3.3-70b-versatile,QUIRKY_CASE,Óláfr sýnir yðr mann.,Óláfr sýnir þér mann.,"Which of the following Old Norse sentences is grammatically correct?

A: Óláfr sýnir yðr mann.
B: Óláfr sýnir þér mann.

Answer with A or B only.",B,B,FALSE,A_gram
ON_QUIRKY_CASE_045,llama-3.3-70b-versatile,QUIRKY_CASE,Kormákr gefr hánum konung.,Kormákr gefr hann konung.,"Which of the following Old Norse sentences is grammatically correct?

A: Kormákr gefr hann konung.
B: Kormákr gefr hánum konung.

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_046,llama-3.3-70b-versatile,QUIRKY_CASE,Þeir gefr mér marga konunga.,Þeir gefr ek marga konunga.,"Which of the following Old Norse sentences is grammatically correct?

A: Þeir gefr ek marga konunga.
B: Þeir gefr mér marga konunga.

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_047,llama-3.3-70b-versatile,QUIRKY_CASE,Kormákr konungr segir henni orm.,Kormákr konungr segir hon orm.,"Which of the following Old Norse sentences is grammatically correct?

A: Kormákr konungr segir henni orm.
B: Kormákr konungr segir hon orm.

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_048,llama-3.3-70b-versatile,QUIRKY_CASE,Þórr konungr gefr oss brand.,Þórr konungr gefr vér brand.,"Which of the following Old Norse sentences is grammatically correct?

A: Þórr konungr gefr oss brand.
B: Þórr konungr gefr vér brand.

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_049,llama-3.3-70b-versatile,QUIRKY_CASE,Svartr segir mér mann.,Svartr segir ek mann.,"Which of the following Old Norse sentences is grammatically correct?

A: Svartr segir mér mann.
B: Svartr segir ek mann.

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_050,llama-3.3-70b-versatile,QUIRKY_CASE,segir þér brand Þórr.,segir þú brand Þórr.,"Which of the following Old Norse sentences is grammatically correct?

A: segir þér brand Þórr.
B: segir þú brand Þórr.

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_051,llama-3.3-70b-versatile,QUIRKY_CASE,Nú gefr Þórr því hjálm.,Nú gefr Þórr þat hjálm.,"Which of the following Old Norse sentences is grammatically correct?

A: Nú gefr Þórr því hjálm.
B: Nú gefr Þórr þat hjálm.

Answer with A or B only.",B,B,FALSE,A_gram
ON_QUIRKY_CASE_052,llama-3.3-70b-versatile,QUIRKY_CASE,Þá fœrir henni víking.,Þá fœrir hon víking.,"Which of the following Old Norse sentences is grammatically correct?

A: Þá fœrir henni víking.
B: Þá fœrir hon víking.

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_053,llama-3.3-70b-versatile,QUIRKY_CASE,Eiríkr hjálpar því góðan draug.,Eiríkr hjálpar þat góðan draug.,"Which of the following Old Norse sentences is grammatically correct?

A: Eiríkr hjálpar þat góðan draug.
B: Eiríkr hjálpar því góðan draug.

Answer with A or B only.",B,B,TRUE,B_gram
ON_QUIRKY_CASE_054,llama-3.3-70b-versatile,QUIRKY_CASE,Þá trúir þeim orm.,Þá trúir þeir orm.,"Which of the following Old Norse sentences is grammatically correct?

A: Þá trúir þeim orm.
B: Þá trúir þeir orm.

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_055,llama-3.3-70b-versatile,QUIRKY_CASE,Þá gefr hánum brand.,Þá gefr hann brand.,"Which of the following Old Norse sentences is grammatically correct?

A: Þá gefr hann brand.
B: Þá gefr hánum brand.

Answer with A or B only.",A,A,FALSE,B_gram
ON_QUIRKY_CASE_056,llama-3.3-70b-versatile,QUIRKY_CASE,Þá segir þér hjálm.,Þá segir þú hjálm.,"Which of the following Old Norse sentences is grammatically correct?

A: Þá segir þér hjálm.
B: Þá segir þú hjálm.

Answer with A or B only.",A,A,TRUE,A_gram
ON_QUIRKY_CASE_057,llama-3.3-70b-versatile,QUIRKY_CASE,trúir þeim hjálm Haukr.,trúir þeir hjálm Haukr.,"Which of the following Old Norse sentences is grammatically correct?

A: trúir þeir hjálm Haukr.
B: trúir þeim hjálm Haukr.

Answer with A or B only.",B,B,TRUE,B_gram
